PDB,SP_PRIMARY,CHAIN
4NHY,Q8N543,D
5BSV,O24146,A
1E3D,Q9L868,D
6IFE,A0A4V8GZZ0,B
8TZP,Q5T9L3,B
1EA9,Q59226,D
1KNP,P10902,A
1AQ2,P22259,A
4A3Y,Q9SPP9,A
4H3T,C7LYW9,A
6K5P,B0X223,D
4XP4,Q7K4Y6,A
8Y65,Q9NRM0,A
1DAB,P14283,A
1MD9,P40871,A
8CK6,E3T1X2,A
3UNV,Q84FL5,A
8DE3,F1RN70,A
4LL8,P32492,A
6J0M,B6VNN7,C
6AAV,Q76LB0,B
2O1P,P29468,B
7ONU,O15091,E
1M1E,Q02248,A
1DQU,P28298,A
7B4L,Q86UD5,A
3H2W,Q9AJS0,A
6NVW,Q60136,B
7D76,Q86Y34,R
6IYK,P10378,B
5FL7,Q6C326,B
8JN8,P12931,A
6FBM,A0A140EEF9,B
1HDH,P51691,B
8Q8H,A0AAT8XUD7,D
2FRV,P12944,B
6FF4,Q13573,C
3GD3,Q9Z0X1,C
2WYN,P13482,B
2XFF,P16098,A
9DM1,I7FGS8,F
3M6A,P37945,F
8Z1Y,P23847,F
4B2T,Q3ZBH0,b
4WES,P00467,C
1GZ7,P32946,D
1CLE,P32947,A
8E7S,P00401,k
1ZPU,P38993,F
5DXF,Q5AI14,A
5ZRD,Q2T7K1,C
6D97,A0A2H4PMI3,B
3FDD,Q845W8,A
8I49,Q00IB3,A
1F6W,P19835,A
6M01,A0A0F7R6G7,A
4YZT,Q65JI7,A
2JF7,Q8GU20,A
5INF,A0ACI9,F
3SQM,B1XLD2,A
4JO0,F2RB80,A
6TL4,I1MGE5,A
3N25,P11974,H
7RTT,Q3TH73,A
8X0O,P54769,A
2R8K,Q04049,B
4BKW,O95405,A
8BH8,C5MJA9,A
3UFB,Q7MPU6,A
8K69,Q93XI5,B
2V7B,Q13WK3,B
3TPO,P52293,A
4Q0G,I6YDK7,C
7VOH,A0A8X6EH34,B
1X9D,Q9UKM7,A
5Y09,Q9FL12,B
1MCZ,P20906,P
2W6F,P00829,F
7MJS,F1NCD6,X
8HID,P04040,A
2Z7X,O60603,A
1GCY,P13507,A
6SYY,O67206,A
1FZ0,P22869,A
1GPM,P04079,C
7QLA,G0SGS3,A
6LOL,D2AJU0,A
3N9O,Q9GYI0,A
5ZBI,A0A384E113,A
9JK9,Q8TAA9,D
6GNF,V5SNJ5,A
2Q4W,Q9FUJ1,A
1MOK,Q56839,A
7WKK,Q6DCM0,O
8RHP,P07329,C
6K72,Q9UI10,H
7LAM,Q0PA47,A
4XHC,A0A0J9X262,A
5HY5,E9P162,A
3PC4,Q9VRD9,A
4FJ6,A6LG40,D
7TZO,Q9BPZ7,G
4ZX8,A0A024V0B1,J
4R1I,Q9RNX2,A
3WMT,Q2UP89,B
5U4O,A0A6H3AI29,A
1DII,P09788,B
4XVG,P35340,A
1X0U,F9VN45,C
6QJZ,A0A3G8GC37,A
1US2,Q59675,A
1V10,Q6H9H7,A
6VW8,Q0KDY2,B
3P0B,Q5SH28,A
2W5F,P51584,B
3T37,Q5NT46,A
2DGA,Q1XH05,A
4K0V,Q02763,A
1EI5,Q9ZBA9,A
6FW0,P27338,B
3V2U,P13045,D
1H1L,P09772,D
8I0J,A0A3G6ZHU4,B
7D7F,Q2EG98,A
9FVT,A0AAX7FM35,B
6GYN,Q9Y3Q4,B
8FEF,A0QNR7,F
6J95,Q93VK5,A
8XIT,A0A6P7DBQ8,B
8SHS,P05091,B
1B5H,P06202,A
5IY9,P35269,S
6H5L,A0A2C9CG41,A
7T4R,P07204,A
6T9I,P53040,E
5XBF,Q6PIF6,A
4XTC,Q9KWT5,Q
7YKN,A0A2V4NVF4,A
8ZRZ,P36924,A
3O9P,P77348,A
7BWG,A0A1W6AQA7,B
3QAN,Q9K9B2,A
5VPU,A0A059ZPG7,A
5HVM,Q4WLM9,A
3T58,Q8BND5,A
5VAD,P07814,B
8UCP,Q05940,A
6UDO,P12268,P
6KHO,Q6ZJK7,B
1Q78,P25500,A
5IE3,Q9SMT7,A
8XIU,A0A1L8FIB7,A
8B4O,Q9KWL8,A
7XBV,A6YEH8,A
7ZPF,Q2VL32,A
7X8L,A0A845ADQ8,A
7RD0,Q18B92,A
1EW2,P05187,A
1W8E,P07788,A
8G99,A0A1L8G3G3,C
6YS8,Q5EGM3,B
7TJJ,P09119,I
1E1F,P49235,B
6EEM,O82415,A
6CGO,Q0B313,B
4EQV,P00724,C
8Y1T,Q9NJP9,A
2Z7X,Q15399,B
2OAQ,O29598,2
5Z5I,Q2I2N4,A
5XBJ,Q0P8E9,A
1G8H,P08536,B
5Z5E,Q74N31,B
7VPD,A0A7U9DYK1,F
1SZG,P00175,B
6LNW,A0A0H2URA6,B
2WEU,A4D0H5,D
1EQJ,Q9X519,A
1EYY,Q56694,D
2JG7,Q4KTQ7,D
5LQZ,W1Q6W1,C
6G9V,Q4WAR0,A
3ZMS,Q01101,C
8FTY,A0A7E5VY83,B
7U5C,P49643,B
8EQM,B4WKI1,B
4UPK,Q5LKJ1,A
1GK2,P21310,A
4EPS,A7M4E1,A
9EMN,P73411,B
6VLG,Q9WTS2,D
3BI4,P50264,B
8C29,R4ZGX1,b
8W8R,Q96P66,R
8EOJ,P07237,A
1COY,P22637,A
5ZH4,W7JP72,A
7XBB,Q08499,B
6VM1,P06450,B
1OPL,P00519,B
5T6K,Q9BJF5,A
3WQ5,Q7X9A9,B
2GJX,P06865,E
1FS9,Q9S1E5,A
2XQ1,P30263,L
1V0S,P84147,A
8G6P,G7CMG5,A
6E5V,O00222,A
1DBO,Q46079,A
3D45,Q8VDG3,A
4BOT,Q6S3H9,E
5YZX,P0A8N5,A
8W20,Q9ACV4,C
7TL8,Q5HHP2,A
8I12,A0A0F6MV26,A
8DK2,A0A0H2ZJP9,A
6XT9,A0A0C4DGY3,H
8W7D,P0AG16,D
6SD8,Q6MJ59,A
3B3R,P12676,A
3FCE,Q81G39,A
1SEZ,O24164,A
1ATI,P56206,A
1BBW,P0A8N3,A
6YJO,A0A098DND1,A
6EVG,A6X5N0,A
6E5U,Q9UBU9,A
1A65,Q9Y780,A
6FF7,Q9UMS4,J
1HP4,O85361,A
1GYT,P68767,G
1GWE,P29422,A
1BPW,P56533,C
5GIV,Q9RRR3,A
1AK5,P50097,A
8RXS,A0A3A6V972,C
6O3C,P56726,A
3IWJ,Q93YB2,A
7EKT,P36544,B
6VJR,A9A1Y2,C
2D54,P23395,A
6G3I,Q11KV9,A
7AJ9,Q9KSI8,B
5AC0,P51977,B
1BO5,P0A6F3,O
2W40,Q8IDI4,C
1E6X,P29736,M
6VBY,Q94IP1,A
6EJ2,P56817,A
7LHA,A0A4Y1VMZ7,A
8QQM,P02718,B
8AFQ,P43601,C
5JIW,O87172,A
6AQH,G7CF12,A
1A3W,P00549,A
4JE5,P53090,A
4F2D,P08202,A
5I1W,H8Y6P5,C
6GS4,P77304,A
1HCU,Q9P8T8,B
6XSJ,P0C1B3,B
5ISU,Q8YAJ0,A
1GYC,Q12718,A
1AG8,P20000,D
1BI9,Q63639,B
8GAE,P53041,E
1GOI,P11797,A
1UR9,Q54276,B
5OAR,Q8J2T0,D
3LUT,P63142,B
5KOJ,A9H5W5,A
5DA0,Q1J2S8,A
6SZB,P31473,D
6VM1,P00825,F
8BFN,A0A4V3QHV5,J
6PEN,Q9UBP0,F
1FA2,P10537,A
5XGC,P52306,A
7W1F,Q9I4L1,A
2IID,P81382,D
5L6G,G2QG48,A
5M1B,P0AAB5,A
7LZ6,Q05329,A
9CKU,P9WNU9,G
4GZU,Q91VS8,B
2YHS,P10121,A
4DQY,P09874,C
4MLA,Q709Q5,A
2HRG,Q9HDQ0,A
7EC6,Q2G0L2,C
1DDZ,Q43060,A
1VAH,P00690,A
8RBM,C1DMA6,C
4FDI,P34059,B
3DHP,P0DUB6,A
7XIO,A0A0K1ZP03,B
4JHU,M1GME7,A
3IJ9,P04746,A
1Q6C,P10538,A
8F9Q,H0VB40,A
3T6X,I1SB14,C
5XIP,U6KWI1,C
4YJ6,C3UWD1,A
7B53,P22188,A
1OTC,P29549,A
1BPO,P11442,A
6S62,Q9I5E6,D
8TK1,J8HQ06,D
2NBI,O22015,A
8DZZ,P39946,F
7F00,Q8CZ70,B
7TQR,Q9HLI6,A
7ZAU,Q16658,G
5O66,P02930,A
7VQ7,Q9SJE9,A
4Q65,P75742,A
7Y1Q,P53986,A
5WAY,Q97P44,B
6VYG,A5K274,A
1Y56,O59088,A
7MFT,O34399,I
1BWV,O98949,E
3EOE,Q969A2,A
6TFX,O50271,A
6S21,Q8A2F6,A
4ZEK,Q52012,A
1FSU,P15848,A
8CMX,Q4WPU3,B
6F1T,O43237,i
9CJF,P07328,A
2F6D,P08017,A
1CWV,P11922,A
9MHF,Q6ZNE5,C
1GXF,P28593,A
8C6U,A5WYD2,A
5EM4,P00178,A
8RA0,A0A1W6R555,A
3ED4,A0A0H2V4H2,A
3LPX,Q482G7,A
5E58,J9JD66,B
8R1R,A0A150VPP7,A
7BZV,Q9KWS5,A
8WEV,Q9EY88,B
6PQN,B0F0C5,A
6U9H,Q93YZ7,N
1ASZ,P04802,B
7D68,O95838,R
6EEI,Q8RY79,B
4WEK,A0A0M3KKZ4,A
1FEB,P39040,A
1EWK,P23385,A
7Q6Y,A0A6M0U600,B
7WIY,Q8IWU9,B
6S20,Q8A2H2,C
5N9Z,A0A384E0M2,E
3VSF,A3DD67,A
2JB1,Q8VPD4,B
6ND4,P33750,U
1N2L,P15289,A
1C7J,P37967,A
1GOW,P22498,B
6WSB,Q3JLL8,B
7PJI,A0A069Q6I8,B
4GRI,O51345,A
2E4Z,P35400,A
8G5U,A0A125SA15,D
1OPK,P00520,A
6IP4,F4KIX0,A
5AHN,Q9HXM5,A
8D2X,Q6DEJ6,A
7ZZO,Q92769,A
2JLN,D6R8X8,A
9CLI,P00742,Z
2WKG,B2IUW9,A
8HHV,A0AAJ6N6B6,D
1A4E,P15202,B
6SAR,P66948,A
1M1J,P14448,D
1LAP,P00727,A
6U11,A0A1L8HDP6,A
6EAC,Q87VB1,A
8D8J,P27929,D
2YQS,O74933,A
8F9O,A0A8C0LZX8,A
1E5X,Q9S7B5,B
2Q01,Q9A874,B
5GTD,P23971,B
8K6K,M1V1V5,C
5JIO,G7CGT2,A
1BXN,P0C2C2,E
2GJR,P19571,A
1DPG,P11411,B
3B8A,P04806,X
7PKQ,A0A2K3DXG4,x
1TZ7,O66937,B
3OND,Q9SP37,B
4DNG,P94358,B
4J9U,Q87TN7,D
2DIE,O82839,A
1NM0,P42321,A
8I4N,Q8NQI2,A
6GXV,A0A3P8MUS3,B
7UWQ,W9BAW3,A
4MT7,Q9QX73,A
8U7F,A0A1N5UH46,A
5JBO,A0A0F9XM91,A
8D85,Q6UWB1,A
1I9C,P80077,D
1VJS,P06278,A
1RVY,P07511,A
6M5W,P34896,A
5AA3,Q9HXN1,E
6PC1,B5ZA44,B
6U4Z,A0A0P0FW82,A
6JTD,A0A4Y5RXX8,A
6TP0,I3P686,A
3BH4,P00692,A
1AC5,P09620,A
3GUE,Q388T4,A
5T94,P21827,A
7COD,Q9NP87,A
5E4R,E0SRA9,A
4MVF,O15865,A
3TCM,P52894,A
4R83,O66375,D
4J0U,Q13325,A
4IL1,P63329,A
1OJT,Q51225,A
6KPB,Q9LPR8,C
8Q61,P31751,A
8WC0,A0A0J6NHD9,A
1H1L,P00466,A
3OTN,A6LIX4,A
7TQX,A0A1D8PKA4,K
4EZH,Q5NCY0,B
7D6B,Q7XSK0,B
7XDR,E4PMA5,R
5OKD,P31800,A
3IV0,Q8AB38,A
1OBB,O33830,B
3JQ1,A6KXE4,B
1JMO,P05546,A
6VK1,Q08109,B
5K6W,Q3UH53,B
1KAP,Q03023,P
4RG8,A0A0A0R5X6,A
1K7G,P16317,A
2AAQ,P00390,A
6YJI,I1RWY4,B
3SN5,P22680,B
8YNN,Q14790,C
8OQA,P24046,E
1GON,Q59976,B
1JSW,P0AC38,A
6GYP,P35203,A
3H0R,O66610,S
6K20,P77649,A
1BOA,P50579,A
6O7W,P41807,P
1EJI,P50431,A
4F66,Q8DT00,A
5AZA,I6V0B8,A
7Y4S,Q6ZMU5,B
5UI8,A0A0H3H3L1,M
8IRV,P21918,R
8J2Z,A0A8K1ZRH3,A
4RUB,P00876,A
1HC7,Q5SM28,C
3HDX,Q8AB42,A
7XZI,A0A2K3D4W3,3
8DDA,Q9UDR5,B
1FXZ,P04776,C
4DM0,Q46731,A
8W0P,A0A226QBA7,C
4NZJ,Q5LFG6,A
7XOI,A0A5N6DPG0,O
6XJV,Q9BPX6,Q
7LAD,P20815,A
5XNZ,A0A0K2JL82,A
5WEG,A0A075E2Q1,B
9EMM,P73720,E
1UW9,P00877,A
3TY7,Q99SD6,B
3IHJ,Q8TD30,A
6PH4,Q8YC53,B
1AA1,P00875,L
3C95,P04995,A
1P3D,P45066,A
1EUH,Q59931,B
5HXA,Q142X8,A
6LF6,A0A096SRM5,A
8CR7,P14756,B
6ZTI,A0A378K488,D
6FEA,C1DI25,A
4V1X,P72156,C
7XQ8,P01871,C
2WTX,P31677,A
5JFC,Q8U195,L
6I5S,A0A5S8WF49,A
7FIT,Q73HD5,A
6L5R,A0A6I8WFN2,A
5ODC,A0A2D0TCA6,F
5FLZ,P53378,C
8DP5,Q6ZS72,P
2BTQ,Q8GCC5,A
5TVG,A4JGS8,H
4YB9,P58353,D
4XKR,Q2G2P5,A
3SS5,D3Z7P3,D
1YNU,P37821,A
3JCU,P06003,c
6FYQ,A0A4P1LYG1,A
4OGZ,Q5L7T7,B
4P42,A0FGR8,A
1OHW,P80147,D
2VN0,P10632,A
4Q4T,O53168,A
1B5Q,O64411,A
1GAI,P69327,A
8DSK,A0A0R0IK90,C
4W4U,N1P0J5,D
1SMP,P23694,A
8XKS,A0A2K3DVJ8,O
6PSI,P00634,B
6TD6,Q02936,B
6LPT,Q8N465,A
1DNP,P00914,B
3PFE,Q5ZXC3,A
2C44,P0A853,D
1P8J,P23188,B
6QEL,P0ACB0,F
1VIW,P56634,A
8IWH,A0T0T1,C
6UST,A0A174CV66,D
2BMA,O96940,D
1DXL,P31023,B
8EQ3,P0AD61,B
4WV6,P52292,A
2B1X,Q9X3R9,A
7QL6,P02712,B
2ZOX,Q9H227,A
1HR7,P11914,E
7USY,D1MN74,J
6N9G,O46470,A
4CLS,Q96PN6,A
2BIF,P25114,A
3U95,B9KAM3,D
2GLS,P0A1P6,K
7QQJ,A0A3S9HEG3,B
7YQQ,A0A0H2X5R2,A
1HY1,P24058,C
5GOR,Q8YWS9,D
8D1X,B4RJ22,F
2B4V,Q86MV5,A
2DXI,P27000,B
6P66,O29890,D
7B1S,A0A7R9N4Z1,B
4CP8,Q936X2,F
3RPM,Q8DRL6,B
8JA8,P9WGU9,A
8V4A,P28796,D
4QS9,Q42525,A
6KRJ,U6KUE1,A
5BZA,Q9AG27,B
4B8S,Q7M537,A
4GQS,P33261,D
8UWB,Q16537,B
1DT6,P00179,A
1YFE,P05042,A
5HBF,Q13231,B
4Y8W,P08686,C
5TL8,A0A2H4A2U9,A
5XZV,P22216,A
4ZEO,G0S811,A
1I0A,Q7SIE0,A
1GPH,P00497,2
8HMY,Q8NCE0,A
7KHR,O46563,P
4DCH,P35557,A
8YI6,G8XHD8,A
7EJA,P08913,R
3LMW,Q9F5I8,B
5C6O,Q9KAX3,A
4BTF,Q9D2Y4,A
1K62,P04424,B
8QCW,Q53VM1,A
8Q0J,P25708,F
1DQ8,P04035,C
7P6L,G2QDZ3,D
1WCG,Q95X01,A
5UQS,P00889,C
7ZDM,W5PUX0,1
7ZN5,Q5WKW3,A
8B6Z,Q05639,A
1M1J,Q02020,B
8Z9Z,A0A1S6J137,B
7VBW,A0A1V2W4X9,A
6V1S,Q9KH42,Z
1OM6,O69771,A
7XOH,P9WP51,D
2RAB,D0VWY5,A
3ETF,Q8ZPI3,B
3E4E,P05181,A
2W54,O54050,G
3NET,Q8YMC2,B
7QF6,Q4WF55,A
8WB4,A0A222AI36,C
3UXF,P18477,A
1Z7X,P13489,Y
1U0B,P21888,B
6DFT,Q38BX0,G
5YKT,Q9HWU0,A
3SFW,Q846U5,A
6KBW,A0A0B5RNJ4,A
6GWI,E1V913,A
4Q69,Q8A5I0,A
3GHG,P02675,B
2OO0,P11926,B
3HMU,Q5LMU1,B
8GRF,P08679,B
8OIE,D5ANJ9,C
1ULI,Q53122,A
5T4O,P0ABB4,F
2WV2,Q385E8,A
4AUT,A0R607,A
2WYA,P54868,C
1E1K,P08165,A
5U6Y,P11275,A
2ZBA,O94197,D
6HD1,Q687X5,B
6UT6,P15005,F
4AAW,Q8DQ18,A
6PVI,L0E4H0,A
3N58,Q2YQX8,B
8HZ4,A9W9X0,A
1G97,Q97R46,A
4BA4,Q7NWG4,A
8BCX,Q39YY5,A
1GKR,P81006,A
1IJF,P02994,A
2XFT,Q8KRB7,A
6K5V,P20115,E
1GKP,Q7SIE9,A
7K7T,Q8TE76,B
6ZVP,P07101,D
7SX4,B1AL88,B
8BI6,P35790,B
1NFG,Q8VTT5,D
8EC0,P07256,A
6FD2,Q2MFI7,A
7QX3,A0A3G5BC54,C
1L2L,O58328,A
4D0K,G0SAK8,A
6RV8,A0A0A7EQR3,B
6LLW,A0A0A1HA03,A
1KT0,Q13451,A
3TIX,Q10103,D
7PLI,P21693,F
3GZY,Q46372,A
1HV9,P0ACC7,A
5B0O,P26465,B
4PER,Q5ZIY8,A
1C7G,P31011,A
1EWF,P17213,A
3AGD,Q4U1A6,A
6TTP,Q9HCE5,B
4XYD,Q16A04,A
2X2Z,B6KAM0,A
3OM4,D5DC07,D
4FL0,Q9ZQI7,A
8B6L,P39656,N
1DFJ,P10775,I
9MH4,A0A0H3FLQ9,A
7T24,Q9I0K9,A
4F0X,O95822,E
7V5T,Q13867,A
6O1E,Q14149,A
7K47,B2FHY5,A
1EBD,P11959,A
1WQA,O58651,A
5X49,Q9NQH7,A
1A6R,Q01532,A
1YFR,O67323,A
1DQ3,E7FHX6,A
3VZ1,B1XMM6,B
6FX0,P13631,A
1C9U,P13650,A
6S54,A0A2S8XV37,A
6FO6,P23004,O
5DEN,P04176,A
1B0I,P29957,A
3ZRH,Q9UGI0,A
6CSE,Q6LX42,C
2BJU,P46925,A
7BG7,P05362,B
5ZTX,F2XBU9,A
2PTK,P00523,A
6C9D,Q9P0L2,B
1BU8,P54318,A
4CW5,A7Z6E3,A
1GG4,P11880,B
3ATQ,Q4JA33,A
6GB0,Q39054,A
5TSP,A0A0H2YQR1,A
7U6L,F8G0P1,A
3WCN,O67140,A
7ZA3,Q8CFZ4,A
7V1V,A0A6L9SN29,D
3DZU,P19793,A
6HYC,P00439,C
3TOR,P0ABK9,A
7ZA1,P51654,B
2CDU,Q9F1X5,A
7RX0,P02550,A
3M4P,C4LWW8,D
6GYZ,A0A0D6H967,B
7APE,G7CES0,B
1BQG,P42206,A
4F61,D0VWZ0,A
7KDV,P16675,B
1ULZ,O67483,A
1X8V,P9WPP9,A
3WU2,D0VWR7,c
1BDG,Q26609,A
8CGZ,A0A836D7T3,A
1AD3,P11883,B
2O0B,P9WPY5,A
7D8M,A0A2P1C6N4,A
5IX1,F7BJB9,A
7UPV,A0A1D6QTZ9,A
1GEU,P06715,A
3LXQ,Q87NY2,A
1E5Q,Q9P4R4,E
7W6X,P0AEH1,A
5X9H,Q5SMG8,A
3ST6,P9WFX1,A
6TCV,Q8A0N4,B
1SU3,P03956,B
8D8K,Q01163,W
4FFC,B1MIQ9,D
3QXY,Q8TBK2,A
1QOX,Q03506,L
5V2K,O22822,A
1HPL,P29183,A
7FCO,Q0R4P7,A
6B4O,Q82Z09,A
1AUP,P24295,A
1LPB,P16233,B
8IXD,P68373,A
6IMW,A0A4V8H013,A
6DT0,Q7S4I4,A
1ODU,Q9WYE2,A
1U8X,P54716,X
6A0L,D2YYE1,A
3RV3,P24182,A
1UUV,P0A110,A
4BNE,O13154,A
7TI7,B7H1N2,A
7UY0,P09769,A
4DZH,Q8P8H1,A
3BTN,O35484,A
8U41,A0A9X4Y9G9,A
4Q9T,A7TDS5,A
6H6X,A5D4Z9,B
6S8M,P05219,B
4MSX,P43589,A
1BGG,P22073,A
1ETH,P00591,A
5XGV,K7QRJ5,B
3SDJ,P32361,E
1LV0,P21856,A
2JIE,P22505,A
4R9F,L0E2M2,A
3WVR,A0A0A6YVN3,C
1HKW,P9WIU7,B
5E9T,Q79T00,B
2NPX,P37062,A
3S6K,A0A0H2X8L7,A
2DV6,Q8KKH4,A
5BUK,J7H1A1,B
8BTG,P05648,G
8J0T,P9WPV3,d
6UV3,Q92841,A
6NJP,B7UMA6,F
7US3,P0DXB2,B
9BYJ,P08631,A
1EC9,P0AES2,C
1Z03,O05935,E
5CEC,Q6MHT0,A
5BWI,Q63T97,B
8A1U,Q9KPS1,A
8POO,O32081,A
3E1H,Q7S6N4,A
8IXG,Q7TMM9,R
5KCV,P31749,A
2OVQ,Q969H0,B
2CAU,P50477,A
7VVZ,Q08649,P
2HA9,Q97ST4,A
4C0B,Q08685,A
5CKW,Q5WZW9,A
1EY2,Q93099,A
6HQW,Q2GBV5,A
3CXL,P15882,A
8J3M,A0A1S5SJM8,C
1C7Q,P13376,A
8ASI,Q3IY10,B
7SQO,O43614,R
3ZYI,Q9HBW1,A
1KYI,P43773,U
8X9V,A0A0K0GM91,C
3K11,Q8A045,A
3N5T,P29473,B
3KDN,O93627,D
3N6J,A6VQF6,B
5VSU,P49960,A
3IF2,Q4FPU3,A
1DJ2,Q96529,A
3HM8,P52790,A
3G5Q,Q5SID2,A
2XMO,Q8Y432,A
5A8K,A0A1C7D1E2,B
3PQ1,Q9NVV4,B
1YYF,P0A6H5,A
4Y93,Q3ZC95,A
3POT,P11560,E
3I6W,O96017,A
1A0E,P45687,A
1E6V,Q49601,B
1G5I,Q9QZM2,C
5DN8,Q83C83,A
8E9H,A0QU31,F
8TUL,Q9HD23,A
2GD4,P01008,C
5Z7C,Q9KL18,A
1HR7,P10507,B
4BWP,Q95RR8,B
1DJ3,O24396,B
4ZL4,A5K302,B
7N7S,A0A077EA44,F
7ZGR,P35728,F
3HXZ,P00957,C
7EPK,Q9YB62,A
6UMQ,Q9H993,A
1YEY,Q8P3K2,D
8DHT,O28635,B
7JPJ,B7G3A2,B
1W2M,P15034,E
7LWZ,Q9KQL9,A
4X46,Q7CP66,A
1EMS,O76463,A
4K34,P77211,A
8JLZ,P50406,R
3R0X,Q8ZL08,A
2TPT,P07650,A
8RD2,Q26769,A
3NQH,Q8A3J5,A
1A0D,P54273,C
7V67,P30575,D
8AJK,Q2G0I4,A
3C8T,Q11C84,A
7BLF,A0A384K246,B
2BYL,P04181,C
8OX1,P54274,M
4R1Z,B3DH80,B
7RJE,A0A1D8PP59,E
8X1W,Q6WG30,A
3GG2,Q7MVC7,D
6AN0,A0A077ECF2,A
7MKV,B8NM72,A
6R3V,Q07960,A
7CYR,A0QTT2,A
6HWK,A0A1H7TQR5,C
6DZS,K5BJC9,B
1A0C,P19148,A
3NEN,Q52428,B
4C5Z,G3XP38,B
2Y1O,P14900,A
1Z2Z,Q8Q0M2,B
5ZG8,P54263,A
8ESK,P02710,D
4MMO,Q97V97,A
7X0O,A3DHA5,B
1E9S,Q04230,D
3M9V,B3TMR1,A
5TE2,P0A4X7,B
8Y98,A0A2I5TIB4,B
6TJV,Q8DKF3,P
7ZUB,P35869,D
1MLV,Q43088,B
3E1Y,P62495,D
8B3E,M4SY06,A
3E37,P49356,B
3E30,Q02293,B
9AWK,P02709,C
8Q41,E8URK0,B
5DQR,Q8GS60,F
4MFI,A5U6I5,A
2XH4,P00924,C
4CYJ,G0S0Y3,C
8OK2,Q92547,E
7VU0,P75733,A
4AYO,B0SWV2,A
7OQB,Q02554,Q
7QBA,P19843,A
1MWO,Q7LYT7,A
4EWJ,K7N5M7,B
7ZC6,A0A923IZ11,C
6YJ6,Q12415,C
7Z5C,P84092,M
4BR2,O35795,A
1CVR,P95493,A
3A3K,P18910,A
3KPK,B7JBP8,A
6U78,O69689,C
3H9U,Q383X0,A
3SPW,P35844,A
5GAH,P0AGD7,i
1M9T,P29477,B
3IO1,A6T8P4,A
4CEL,P62694,A
3NRS,Q8D0U0,A
8EMA,P01872,A
1IGW,P0A9G6,A
6DNE,O60885,A
4NMN,O67450,A
6BZ5,P23262,B
3HR6,Q6NF81,A
1H6B,Q07982,B
6YXQ,Q9H1I8,B
1D7V,P16932,A
5SZQ,Q91XY4,A
4U6B,F0V1E1,B
3QNQ,Q72XQ0,D
1E6Y,P07955,E
1JQG,O97389,A
7DBL,A0A0B5LB55,C
3HID,Q8ZIV7,A
1KJX,P0A7D4,A
2QYG,Q6ND47,C
7YI9,I7MIF9,A
2IP1,Q12109,A
6WHP,J9VWY8,A
3A9Y,Q68FT9,B
1BRW,P77836,B
8FIE,A0A0M2KDV0,A
7B5L,P20248,Y
6BFY,P0A6P9,E
7YKV,Q58241,B
4J40,Q9HUK6,B
6U00,P43075,A
1QZW,Q97ZE7,E
1H3F,P83453,B
3NJ4,P23526,D
1C3U,Q9X0I0,B
8QBY,A1B491,F
1H46,Q7LHI2,X
7LQX,B7GNS6,A
1UG6,Q8GEB3,A
6JFL,O95140,B
3K1T,Q1GYA6,A
7XTC,P34969,R
1Z3W,Q7LIJ0,A
1K0U,P10760,H
6OTJ,B4RP13,B
6ERK,Q1QDV8,B
1F1O,P12047,A
7AD3,D6VTK4,B
8VQK,P76042,B
2X98,B0R9W3,A
4H0P,J9W3A6,B
3R38,Q8Y4C4,A
7NGH,Q5JID0,C
3ITL,Q75WH8,C
7NST,P0A855,E
6R1M,P0A8L1,A
6EZN,P33767,G
6WOP,D0CCF6,A
4G07,Q8G2R2,A
7OC6,A0A2U8U2L5,A
7KB1,Q9WZY4,C
7CQL,A0A369R1N0,C
1ATT,P41361,B
7NWR,Q8A7J8,B
4M0G,Q81JI9,A
1GSO,P15640,A
8FFZ,P39933,A
3CYM,A1A237,A
4NJQ,Q9HYZ3,C
3OQ8,Q2YQA0,C
5ES2,Q5ZXU7,B
4UQV,Q58992,G
1MGV,P12995,B
3TC9,Q8A230,B
1T02,P13702,A
3DUF,P11961,I
6UZY,B3DLA5,B
7BYV,Q50KB2,A
8CK9,A0A399FZ67,A
6WSI,P9WKK7,A
4OHV,P52874,A
2GC5,P15925,A
1CPT,P33006,A
7XOU,P32238,R
7MW8,A0A0U5FM15,F
3GWB,Q4K4B6,A
6OAD,P37095,D
1MI4,P0A6D3,A
1I7O,P37352,C
8K5K,A0AAJ6N6I6,A
5OLK,A3XHF9,D
2ERO,Q9DGB9,B
5I92,P48247,F
1NXG,P0ABH7,B
8IHQ,A0A0S1B1B6,A
3QRY,A0A0H2URZ6,A
4CZB,Q60362,D
7W56,Q9HB89,R
7F8O,Q96RD7,D
4E6N,A3DJ38,A
6H0H,B8DWA9,B
9EU3,G8UMQ6,D
8B6J,Q950Z1,C
8JLH,Q45894,B
3PPL,Q8NTR2,B
6I5V,A0A4V8GZY7,A
8Q1B,P78761,M
7BA2,A0A0B7GP99,A
8XGQ,A0A3A6VV34,B
2FFH,O07347,B
5U9W,G4CRQ5,A
3MN8,P42787,B
1L6J,P14780,A
3VOT,Q65D11,A
3GTY,Q9WZF8,X
6XBB,B5HNG5,F
1BAG,P00691,A
2E7U,Q5SJS4,A
2IYA,Q3HTL7,A
3VTF,A1RUM9,A
7ZBZ,Q13309,F
5H9X,A0A1S4NYE1,A
5E1R,B3STU4,F
8XUJ,A0A081KBI6,B
6L4C,Q8S4P9,B
3BWS,Q72U69,A
1M6X,P03870,B
6QJ1,G0S5H7,A
4BXW,Q56VR3,A
